cha,dataset,embeddings_sims,eps,gpu,max_data,min_samples,model,n_clusters,score,sil,tags_sims,verbose,weights,embeddings_sims_mean,tags_sims_mean
390.465920735488,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0057374514, 1: 0.2912796, 2: 0.10490137, 3: 0.054629225, 4: 0.03675932, 5: 0.18779352, 6: 0.20078202, 7: 0.29165035}",0.03,1.0,500.0,4.0,"VGG16(
  (model): Sequential()
)",8.0,0.5745992601726264,0.31029379696165926,"{0: 0.012795610887787792, 1: 0.8276034198686187, 2: 0.41187639444215274, 3: 0.45468764841342785, 4: 0.3331853698094521, 5: 0.7167245280133667, 6: 0.764034224066209, 7: 0.8184034822192057}",0.0,"(1.0, 0.0, 0.0)",0.14669162034988403,0.5424138347150276
365.7534144305694,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0062706354, 1: 0.2912796, 2: 0.10490137, 3: 0.054629225, 4: 0.03675932, 5: 0.18779352, 6: 0.20078202, 7: 0.29033807}",0.03,1.0,500.0,5.0,"VGG16(
  (model): Sequential()
)",8.0,0.5728395061728395,0.316284261043563,"{0: 0.013047333296111123, 1: 0.8276034198686187, 2: 0.41187639444215274, 3: 0.45468764841342785, 4: 0.3331853698094521, 5: 0.7167245280133667, 6: 0.764034224066209, 7: 0.38437741058814456}",0.0,"(1.0, 0.0, 0.0)",0.14659422636032104,0.4881920410621854
375.0190433831023,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0065824687, 1: 0.2912796, 2: 0.10490137, 3: 0.054629225, 4: 0.03675932, 5: 0.18779352, 6: 0.21656922}",0.03,1.0,500.0,6.0,"VGG16(
  (model): Sequential()
)",7.0,0.5657568238213398,0.3229362891911639,"{0: 0.01379660258815737, 1: 0.8276034198686187, 2: 0.41187639444215274, 3: 0.45468764841342785, 4: 0.3331853698094521, 5: 0.7167245280133667, 6: 0.33723144545089706}",0.0,"(1.0, 0.0, 0.0)",0.12835924327373505,0.44215791551229605
375.0190433831023,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0065824687, 1: 0.2912796, 2: 0.10490137, 3: 0.054629225, 4: 0.03675932, 5: 0.18779352, 6: 0.21656922}",0.03,1.0,500.0,7.0,"VGG16(
  (model): Sequential()
)",7.0,0.5657568238213398,0.3229362891911639,"{0: 0.01379660258815737, 1: 0.8276034198686187, 2: 0.41187639444215274, 3: 0.45468764841342785, 4: 0.3331853698094521, 5: 0.7167245280133667, 6: 0.33723144545089706}",0.0,"(1.0, 0.0, 0.0)",0.12835924327373505,0.44215791551229605
415.4458163192784,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.0065824687, 1: 0.2912796, 2: 0.10490137, 3: 0.054629225, 4: 0.03675932, 5: 0.18779352}",0.03,1.0,500.0,8.0,"VGG16(
  (model): Sequential()
)",6.0,0.5639751552795031,0.31360514308903953,"{0: 0.01379660258815737, 1: 0.8276034198686187, 2: 0.41187639444215274, 3: 0.45468764841342785, 4: 0.3331853698094521, 5: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.11365759372711182,0.4596456605225292
420.0122335689557,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.006868834, 1: 0.2912796, 2: 0.10490137, 3: 0.054629225, 4: 0.03675932, 5: 0.18779352}",0.03,1.0,500.0,9.0,"VGG16(
  (model): Sequential()
)",6.0,0.5639751552795031,0.31893672074129914,"{0: 0.014049722814086963, 1: 0.8276034198686187, 2: 0.41187639444215274, 3: 0.45468764841342785, 4: 0.3331853698094521, 5: 0.7167245280133667}",0.0,"(1.0, 0.0, 0.0)",0.11370531469583511,0.4596878472268509
346.85402452328736,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.005698818, 1: 0.75094247, 2: 0.31168044, 3: 0.2912796, 4: 0.100634284, 5: 0.054629225, 6: 0.18779352, 7: 0.20078202, 8: 0.66685116, 9: 0.5290898, 10: 0.2886168, 11: 0.36221975}",0.049999999999999996,1.0,500.0,2.0,"VGG16(
  (model): Sequential()
)",12.0,0.5745992601726264,0.348260646702802,"{0: 0.011636556438771595, 1: 0.8396306290080995, 2: 0.38049939038990094, 3: 0.8276034198686187, 4: 0.3977170207365921, 5: 0.45468764841342785, 6: 0.7167245280133667, 7: 0.764034224066209, 8: 0.4546212825383139, 9: 0.7175098848142549, 10: 0.36348391879109143, 11: 0.9999999999999996}",0.0,"(1.0, 0.0, 0.0)",0.3125181794166565,0.5773457085898873
345.8908139996791,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.005698818, 1: 0.75094247, 2: 0.31168044, 3: 0.2912796, 4: 0.100634284, 5: 0.054629225, 6: 0.18779352, 7: 0.20078202, 8: 0.66685116, 9: 0.2886168}",0.049999999999999996,1.0,500.0,3.0,"VGG16(
  (model): Sequential()
)",10.0,0.5745992601726264,0.336330182292133,"{0: 0.011636556438771595, 1: 0.8396306290080995, 2: 0.38049939038990094, 3: 0.8276034198686187, 4: 0.3977170207365921, 5: 0.45468764841342785, 6: 0.7167245280133667, 7: 0.764034224066209, 8: 0.4546212825383139, 9: 0.36348391879109143}",0.0,"(1.0, 0.0, 0.0)",0.2858908474445343,0.5210638618264392
454.88771281776036,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.005698818, 1: 0.31168044, 2: 0.2912796, 3: 0.100634284, 4: 0.054629225, 5: 0.18779352, 6: 0.20078202}",0.049999999999999996,1.0,500.0,4.0,"VGG16(
  (model): Sequential()
)",7.0,0.5745992601726264,0.3173556221478582,"{0: 0.011636556438771595, 1: 0.38049939038990094, 2: 0.8276034198686187, 3: 0.3977170207365921, 4: 0.45468764841342785, 5: 0.7167245280133667, 6: 0.764034224066209}",0.0,"(1.0, 0.0, 0.0)",0.1646425724029541,0.5075575411324124
485.98131175954603,<dataset.load.LoadDataset object at 0x7f829b9edd68>,"{0: 0.005698818, 1: 0.2912796, 2: 0.100634284, 3: 0.054629225, 4: 0.18779352, 5: 0.20078202}",0.049999999999999996,1.0,500.0,5.0,"VGG16(
  (model): Sequential()
)",6.0,0.5745992601726264,0.3236866220237552,"{0: 0.011636556438771595, 1: 0.8276034198686187, 2: 0.3977170207365921, 3: 0.45468764841342785, 4: 0.7167245280133667, 5: 0.764034224066209}",0.0,"(1.0, 0.0, 0.0)",0.140136256814003,0.5287338995894976
